model,horizon,run_mean_accepted_reward,reference_mean_accepted_reward,delta_mean_accepted_reward,run_mean_all_reward,reference_mean_all_reward,delta_mean_all_reward,run_top1_mean_after_ei,reference_top1_mean_after_ei,delta_top1_mean_after_ei,run_top1_mean_after_pi,reference_top1_mean_after_pi,delta_top1_mean_after_pi,run_top1_mean_after_ts,reference_top1_mean_after_ts,delta_top1_mean_after_ts,run_top1_mean_before,reference_top1_mean_before,delta_top1_mean_before,run_top1_std_after_ei,reference_top1_std_after_ei,delta_top1_std_after_ei,run_top1_std_after_pi,reference_top1_std_after_pi,delta_top1_std_after_pi,run_top1_std_after_ts,reference_top1_std_after_ts,delta_top1_std_after_ts,run_top1_std_before,reference_top1_std_before,delta_top1_std_before,run_top2_mean_after_ei,reference_top2_mean_after_ei,delta_top2_mean_after_ei,run_top2_mean_after_pi,reference_top2_mean_after_pi,delta_top2_mean_after_pi,run_top2_mean_after_ts,reference_top2_mean_after_ts,delta_top2_mean_after_ts,run_top2_mean_before,reference_top2_mean_before,delta_top2_mean_before,run_top2_std_after_ei,reference_top2_std_after_ei,delta_top2_std_after_ei,run_top2_std_after_pi,reference_top2_std_after_pi,delta_top2_std_after_pi,run_top2_std_after_ts,reference_top2_std_after_ts,delta_top2_std_after_ts,run_top2_std_before,reference_top2_std_before,delta_top2_std_before,run_top3_mean_after_ei,reference_top3_mean_after_ei,delta_top3_mean_after_ei,run_top3_mean_after_pi,reference_top3_mean_after_pi,delta_top3_mean_after_pi,run_top3_mean_after_ts,reference_top3_mean_after_ts,delta_top3_mean_after_ts,run_top3_mean_before,reference_top3_mean_before,delta_top3_mean_before,run_top3_std_after_ei,reference_top3_std_after_ei,delta_top3_std_after_ei,run_top3_std_after_pi,reference_top3_std_after_pi,delta_top3_std_after_pi,run_top3_std_after_ts,reference_top3_std_after_ts,delta_top3_std_after_ts,run_top3_std_before,reference_top3_std_before,delta_top3_std_before
MAB,1,,538.5754716981132,,,498.55191649153056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAB,4,1091.3793103448277,2356.390101718713,-1265.0107913738855,1140.506329113924,2001.3087139845397,-860.8023848706157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAB,8,,4558.373934038121,,,3989.5087139558095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XgBoost,1,161.25108601216334,539.0836356312892,-377.83254961912587,176.8584356819651,498.55191649153056,-321.6934808095655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XgBoost,4,900.0,2281.710905422873,-1381.710905422873,716.1616161616162,2001.3087139845397,-1285.1470978229236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XgBoost,8,,4387.9045808123465,,,3989.5087139558095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DQN,1,132.40740740740742,510.6133518031861,-378.2059443957787,156.41877856252597,498.55191649153056,-342.1331379290046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DQN,4,833.3333333333334,2165.633198121367,-1332.2998647880336,655.2899287894202,2001.3087139845397,-1346.0187851951196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DQN,8,,4697.590231271039,,1277.3553719008264,3989.5087139558095,-2712.153342054983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRQN,1,164.51373422420193,527.9019469102655,-363.3882126860635,158.0217699952674,498.55191649153056,-340.53014649626317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRQN,4,,2366.9125469718374,,,2001.3087139845397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRQN,8,,5521.717461531792,,,3989.5087139558095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRQN,1,,536.5021303327092,,,498.55191649153056,,,2951.771487503052,,,2949.1314875030516,,,2946.9699723434446,,,2885.3652534103394,,,63.133240284994244,,,64.08324028499425,,,64.73337600290178,,,68.62201888874174,,,2928.3185739135743,,,2925.668573913574,,,2927.758383178711,,,2876.5484995269776,,,66.22309077024453,,,65.3930907702446,,,67.91208351502779,,,70.7630875441432,,,2886.1653857803344,,,2892.8453857803343,,,2890.565393409729,,,2853.8153762435913,,,74.36209057450294,,,75.27209057450294,,,76.28293944151021,,,79.39209016099572,
BRQN,4,1236.4130434782608,2429.136425120773,-1192.723381642512,1213.7106918238994,2001.3087139845397,-787.5980221606403,,2951.771487503052,,,2949.1314875030516,,,2946.9699723434446,,,2885.3652534103394,,,63.133240284994244,,,64.08324028499425,,,64.73337600290178,,,68.62201888874174,,,2928.3185739135743,,,2925.668573913574,,,2927.758383178711,,,2876.5484995269776,,,66.22309077024453,,,65.3930907702446,,,67.91208351502779,,,70.7630875441432,,,2886.1653857803344,,,2892.8453857803343,,,2890.565393409729,,,2853.8153762435913,,,74.36209057450294,,,75.27209057450294,,,76.28293944151021,,,79.39209016099572,
